Epoque,Loss_Train_Det,Loss_Test_Det,Loss_Train_Sto,Loss_Test_Sto
1,1.271830677986145,0.7854035496711731,1.6467299461364746,1.1569759845733643
2,0.6700817942619324,0.7013066411018372,1.0812331438064575,0.9344329833984375
3,0.5447239279747009,0.5838128924369812,0.9633262157440186,0.9173628091812134
4,0.4324459731578827,0.5553522706031799,0.8619061708450317,0.8010703325271606
5,0.4093802273273468,0.6318828463554382,0.8138846755027771,0.8092756867408752
6,0.3596073389053345,0.5105792284011841,0.7612258195877075,0.7047133445739746
7,0.2858286201953888,0.5513941645622253,0.7180284857749939,0.8152121901512146
8,0.2606832683086395,0.510994017124176,0.7022002935409546,0.7131626009941101
9,0.2177044153213501,0.5172454714775085,0.716722846031189,0.728759765625
10,0.19781316816806793,0.5270004868507385,0.6485641598701477,0.673837423324585
11,0.1951909214258194,0.5086550116539001,0.6285557150840759,0.6435571908950806
12,0.15112251043319702,0.5049777626991272,0.6143289804458618,0.7244685292243958
13,0.13013644516468048,0.5251398682594299,0.6173626780509949,0.6832335591316223
14,0.12672732770442963,0.5216066837310791,0.5910210609436035,0.6880790591239929
15,0.10789309442043304,0.5976403951644897,0.5547338724136353,0.6579279899597168
16,0.11774201691150665,0.5489890575408936,0.5389654040336609,0.6215478777885437
17,0.08949489146471024,0.5234339237213135,0.5560930371284485,0.6328884363174438
18,0.06740377098321915,0.5584843158721924,0.5016539096832275,0.6698572039604187
19,0.06022273376584053,0.547676682472229,0.5162368416786194,0.6754850149154663
20,0.05299584940075874,0.5720718502998352,0.502643883228302,0.7116418480873108
21,0.05816921591758728,0.6253887414932251,0.4954671859741211,0.6424574851989746
22,0.04959068447351456,0.5626426935195923,0.5050310492515564,0.6937450766563416
23,0.03298630937933922,0.5961830615997314,0.4875917434692383,0.6282048225402832
24,0.032131731510162354,0.5930879712104797,0.49658915400505066,0.6904693245887756
25,0.026334388181567192,0.612447202205658,0.4667685925960541,0.6448111534118652
